path,name,method,action,res_type,parent_name,default,display_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/api/ka/dispatch_rules,dispatch_rules_list,GET,api,,action_settings_alert_rules_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/api/ka/dispatch_rules/{id},dispatch_rules_view,GET,api,,action_settings_alert_rules_list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/alert_rules/create,action_settings_alert_rules_create,GET,action,,menu_settings_alert_rules,,添加规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/api/ka/dispatch_rules,dispatch_rules_create,POST,api,,action_settings_alert_rules_create,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/alert_rules/update,action_settings_alert_rules_update,GET,action,,menu_settings_alert_rules,,修改规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/api/ka/dispatch_rules/{id},dispatch_rules_view,GET,api,,action_settings_alert_rules_update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/api/ka/dispatch_rules/{id},dispatch_rules_update,PATCH,api,,action_settings_alert_rules_update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/settings/alert_rules/delete,action_settings_alert_rules_delete,GET,action,,menu_settings_alert_rules,,删除规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/api/ka/dispatch_rules/{id},dispatch_rules_delete,DELETE,api,,action_settings_alert_rules_delete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/sites/tree,site_list,GET,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/sites,site_create,POST,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/sites/{id},site_update,PUT,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/sites/{id},site_delete,DELETE,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/uaa/api/v2/users,user_list,GET,api,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/uaa/api/v2/users,user_create,POST,api,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/uaa/api/v2/users/{id},user_view,GET,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/uaa/api/v2/users/{id},user_update,PUT,api,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/uaa/api/v2/users/{id},user_delete,DELETE,api,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/uaa/api/v2/users/{id}/activate,user_activate,POST,api,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/uaa/api/v2/users/{id}/deactivate,user_deactivate,POST,api,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/uaa/api/v2/users/activate,user_batch_activate,POST,api,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/uaa/api/v2/users/deactivate,user_batch_deactivate,POST,api,user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/uaa/api/v2/users/perms,user_perm_list,GET,api,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/uaa/api/v2/users/me,user_profile,GET,api,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/uaa/api/v2/users/stats,user_stats,GET,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/uaa/api/v2/groups,role_list,GET,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/uaa/api/v2/groups/perms,perm_list,GET,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/uaa/api/v2/groups,role_create,POST,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/uaa/api/v2/groups/{id},role_view,GET,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/uaa/api/v2/groups/{id},role_update,PUT,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/uaa/api/v2/groups/{id},role_delete,DELETE,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/bw/v2/events,event_list,GET,api,camera,,,查看实时视频,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/bw/v2/events/{id},event_detail,GET,api,camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/bw/v2/events/{id},event_update,PUT,api,camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/bw/v2/events/export,event_export,GET,api,camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ws:/start_stream,camera_start_stream,GET,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/algos,algo_list,GET,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/algos/tags,algo_tag_list,GET,api,,,,查看告警详情,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/algos/event_types,algo_event_type_list ,GET,api,,,,标记误报,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/sites/tree,site_list,GET,api,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/boxes,box_list,GET,api,box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/cameras,camera_list,GET,api,camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/cameras/{id},camera_view,GET,api,camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http:/services/coreapi/cameras/{id}/snapshot,camera_snap,GET,api,camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,